Time Stamp (ms),qw,qx,qy,qz
4155,0.219055,-0.339417,0.484314,-0.776062
4189,0.224548,-0.309387,0.430542,-0.817627
4222,0.236023,-0.267273,0.402405,-0.84314
4255,0.229309,-0.233459,0.391602,-0.859985
4290,0.204712,-0.196106,0.409424,-0.867188
4322,0.168213,-0.22876,0.40332,-0.869873
4357,0.157166,-0.257019,0.387024,-0.87146
4390,0.174866,-0.254517,0.358704,-0.88092
4424,0.194946,-0.278809,0.439209,-0.831482
4457,0.238281,-0.125977,0.461731,-0.845093
4491,0.22345,-0.0977173,0.472778,-0.846741
4525,0.2453,-0.0877686,0.473022,-0.841675
4558,0.264832,-0.122559,0.455627,-0.841003
4591,0.269348,-0.190491,0.421021,-0.844971
4626,0.258118,-0.319092,0.35022,-0.84198
4658,0.218201,-0.321411,0.356873,-0.849548
4692,0.192383,-0.278259,0.424805,-0.839722
4726,0.196594,-0.305786,0.42395,-0.829529
4758,0.164795,-0.336853,0.4422,-0.814758
4793,0.147278,-0.371338,0.426331,-0.811584
4827,0.141602,-0.354431,0.413879,-0.826477
4861,0.135315,-0.358948,0.40918,-0.827881
4894,0.171936,-0.291626,0.451599,-0.8255
4929,0.127136,-0.352966,0.440491,-0.815613
4961,0.121826,-0.349121,0.41925,-0.829163
4996,0.123047,-0.366516,0.37854,-0.840942
5028,0.106628,-0.367493,0.432556,-0.816406
5062,0.0775146,-0.42041,0.427612,-0.796509
5096,0.0773315,-0.372986,0.468811,-0.796936
5128,0.0757446,-0.402466,0.476746,-0.777771
5162,0.0890503,-0.413818,0.483093,-0.766479
5197,0.124207,-0.35437,0.499817,-0.780518
5230,0.146179,-0.3349,0.513794,-0.776184
5263,0.127197,-0.356323,0.534729,-0.755615
5296,0.13562,-0.315186,0.535095,-0.771973
5330,0.144104,-0.342163,0.513916,-0.773376
5364,0.137146,-0.316345,0.516968,-0.783508
5397,0.142761,-0.295105,0.540344,-0.774963
5432,0.115845,-0.345337,0.535889,-0.761658
5465,0.121948,-0.359192,0.523987,-0.762573
5498,0.149719,-0.333191,0.526978,-0.767334
5532,0.136169,-0.326965,0.549316,-0.756836
5565,0.137817,-0.337952,0.55249,-0.74939
5598,0.119507,-0.352478,0.543152,-0.752625
5633,0.127258,-0.317871,0.507996,-0.790405
5665,0.170105,-0.24408,0.485657,-0.82196
5699,0.201294,-0.195557,0.470032,-0.836853
5734,0.240112,-0.102966,0.458801,-0.849243
5766,0.25885,0.00494385,0.411133,-0.874084
5801,0.276367,0.0106812,0.354309,-0.893311
5834,0.260803,-0.0100098,0.350891,-0.899292
5867,0.241394,-0.0270386,0.376343,-0.894043
5900,0.236084,-0.0464478,0.394409,-0.886902
5934,0.247559,-0.0598145,0.447083,-0.857483
5969,0.258972,-0.0547485,0.474243,-0.839661
6001,0.269531,-0.0108032,0.502869,-0.821167
6034,0.3078,0.00946045,0.497009,-0.811279
6070,0.332336,0.0544434,0.476135,-0.812317
